                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3334,                0.89637,                 1.1847,                0.35936,                0.03833,                0.01554,                0.00704,                 4.5829,                 5.9348,                 8.2019,              0.0010384,              0.0010384,              0.0010384
                     36,                 1.2839,                0.87209,                 1.1589,                0.00789,                   0.06,                0.01949,                0.01314,                 4.4123,                 6.0189,                  6.469,              0.0010362,              0.0010362,              0.0010362
                     37,                 1.2595,                0.86912,                 1.1179,                0.00789,                   0.06,                0.01949,                0.01314,                 4.4123,                 6.0189,                  6.469,               0.001034,               0.001034,               0.001034
                     38,                 1.2532,                0.90454,                 1.1514,                0.87511,                0.06667,                0.07328,                0.02903,                 3.5935,                 5.1565,                 4.6517,              0.0010318,              0.0010318,              0.0010318
                     39,                 1.1882,                0.83418,                 1.1182,                0.37153,                 0.2497,                 0.0777,                0.02468,                  3.229,                 12.716,                 3.0917,              0.0010296,              0.0010296,              0.0010296
                     40,                  1.245,                0.80765,                 1.0956,                   0.26,                    0.1,                0.05362,                0.01077,                 3.8364,                 16.633,                 2.9909,              0.0010274,              0.0010274,              0.0010274
                     41,                 1.3986,                    0.8,                 1.1895,                   0.26,                    0.1,                0.05362,                0.01077,                 3.8364,                 16.633,                 2.9909,              0.0010252,              0.0010252,              0.0010252
                     42,                 1.3084,                0.79341,                 1.1174,                  0.225,                0.01667,                0.00807,                0.00301,                 4.2318,                  22.88,                 3.5075,               0.001023,               0.001023,               0.001023
                     43,                  1.279,                0.73936,                  1.125,                0.60913,                  0.145,                0.14983,                0.06902,                 2.3948,                 9.5858,                 1.9302,              0.0010208,              0.0010208,              0.0010208
                     44,                 1.3364,                0.77213,                  1.138,                0.48792,                0.68066,                 0.5746,                0.28556,                 1.7602,                 3.2109,                 1.4924,              0.0010186,              0.0010186,              0.0010186
                     45,                 1.3083,                0.80063,                 1.1363,                0.48792,                0.68066,                 0.5746,                0.28556,                 1.7602,                 3.2109,                 1.4924,              0.0010164,              0.0010164,              0.0010164
                     46,                 1.2626,                0.83571,                 1.1182,                0.51504,                0.50392,                0.47343,                0.20477,                 2.1467,                 2.7669,                 2.0359,              0.0010142,              0.0010142,              0.0010142
                     47,                 1.2643,                0.87343,                 1.1188,                0.75102,                0.30563,                0.25077,                0.08344,                 2.9534,                 4.2953,                 2.9912,               0.001012,               0.001012,               0.001012
                     48,                 1.2104,                0.76512,                 1.1441,                0.67957,                  0.244,                0.21634,                0.06311,                 3.4042,                 5.4143,                 3.6051,              0.0010098,              0.0010098,              0.0010098
                     49,                 1.2728,                0.82162,                 1.1577,                0.67957,                  0.244,                0.21634,                0.06311,                 3.4042,                 5.4143,                 3.6051,              0.0010076,              0.0010076,              0.0010076
                     50,                 1.2502,                0.81477,                 1.0924,                0.57829,                0.29249,                0.21304,                0.06956,                 3.5799,                 5.4967,                 3.8722,              0.0010054,              0.0010054,              0.0010054
                     51,                 1.4364,                 1.1391,                 1.2855,                0.03178,                0.26532,                 0.0583,                0.01318,                  3.557,                 5.7377,                 3.9805,              0.0010032,              0.0010032,              0.0010032
                     52,                 1.3451,                0.85989,                 1.1269,                 0.2903,                0.02667,                0.04018,                 0.0116,                 3.6266,                 5.7774,                 3.7437,               0.001001,               0.001001,               0.001001
                     53,                 1.2193,                0.85206,                 1.1405,                 0.2903,                0.02667,                0.04018,                 0.0116,                 3.6266,                 5.7774,                 3.7437,             0.00099881,             0.00099881,             0.00099881
                     54,                 1.2599,                0.84727,                 1.1618,                0.52051,                0.11235,                0.14904,                0.07412,                 2.9737,                 4.3712,                  2.715,             0.00099661,             0.00099661,             0.00099661
                     55,                 1.2389,                 0.8528,                 1.0908,                0.74718,                0.26524,                0.34589,                0.20444,                 2.1824,                 3.2447,                   1.84,             0.00099441,             0.00099441,             0.00099441
                     56,                 1.2208,                0.78997,                 1.0851,                0.42572,                0.36238,                0.23364,                0.13508,                 2.2944,                 4.9066,                 2.0641,             0.00099221,             0.00099221,             0.00099221
                     57,                 1.2878,                0.80322,                 1.1698,                0.42572,                0.36238,                0.23364,                0.13508,                 2.2944,                 4.9066,                 2.0641,             0.00099001,             0.00099001,             0.00099001
                     58,                 1.1919,                0.72357,                 1.0785,                0.63638,                0.50671,                0.53861,                0.26065,                 2.2259,                 2.0198,                 1.9658,             0.00098781,             0.00098781,             0.00098781
                     59,                 1.2918,                0.78978,                 1.1986,                0.52251,                0.26693,                0.37043,                0.16257,                 2.6855,                 2.4124,                  2.393,             0.00098561,             0.00098561,             0.00098561
                     60,                 1.2535,                0.76719,                 1.1333,                0.43421,                0.20041,                0.22304,                0.07622,                  3.231,                 3.9877,                 2.7182,             0.00098341,             0.00098341,             0.00098341
                     61,                 1.3004,                0.78787,                 1.1582,                0.43421,                0.20041,                0.22304,                0.07622,                  3.231,                 3.9877,                 2.7182,             0.00098121,             0.00098121,             0.00098121
                     62,                 1.2781,                0.90544,                 1.1033,                0.15702,                0.33446,                0.20655,                 0.0598,                 3.3712,                 5.6091,                 3.1284,             0.00097901,             0.00097901,             0.00097901
                     63,                 1.3772,                0.91441,                 1.1999,                  7e-05,                0.02857,                  4e-05,                      0,                 4.2321,                 24.038,                 2.6259,             0.00097681,             0.00097681,             0.00097681
                     64,                 1.3507,                0.85007,                 1.2279,                 0.2555,                0.23866,                0.12116,                0.05746,                 2.2496,                 4.0259,                 1.8361,             0.00097461,             0.00097461,             0.00097461
                     65,                 1.2806,                0.76471,                 1.1265,                 0.2555,                0.23866,                0.12116,                0.05746,                 2.2496,                 4.0259,                 1.8361,             0.00097241,             0.00097241,             0.00097241
                     66,                  1.194,                0.72787,                 1.1009,                0.54293,                0.53699,                0.42554,                0.24745,                 1.6068,                 2.7504,                 1.3713,             0.00097021,             0.00097021,             0.00097021
                     67,                 1.1951,                0.71429,                 1.1179,                0.63599,                0.44209,                0.49772,                0.28371,                 1.6139,                 2.6861,                 1.3901,             0.00096801,             0.00096801,             0.00096801
                     68,                 1.1833,                0.73531,                 1.1258,                0.58401,                0.53246,                 0.5387,                0.31584,                 1.5656,                 3.1874,                 1.3708,             0.00096581,             0.00096581,             0.00096581
                     69,                 1.2614,                0.65121,                 1.0968,                0.58401,                0.53246,                 0.5387,                0.31584,                 1.5656,                 3.1874,                 1.3708,             0.00096361,             0.00096361,             0.00096361
                     70,                 1.2225,                0.61463,                 1.1435,                0.72273,                0.43206,                0.60241,                0.32345,                 1.6878,                 3.1235,                 1.4303,             0.00096141,             0.00096141,             0.00096141
                     71,                 1.2104,                 0.6685,                 1.0744,                0.76999,                0.44162,                0.67593,                0.36775,                 1.8073,                 2.7439,                  1.483,             0.00095922,             0.00095922,             0.00095922
                     72,                 1.2026,                0.63806,                 1.1093,                0.74377,                 0.5512,                0.66232,                0.41974,                  1.499,                 2.5262,                 1.3002,             0.00095702,             0.00095702,             0.00095702
                     73,                 1.2131,                0.65817,                 1.1488,                0.74377,                 0.5512,                0.66232,                0.41974,                  1.499,                 2.5262,                 1.3002,             0.00095482,             0.00095482,             0.00095482
                     74,                 1.2812,                0.65383,                  1.109,                0.65991,                0.43146,                0.57773,                0.33977,                 1.6956,                 2.7428,                  1.482,             0.00095262,             0.00095262,             0.00095262
                     75,                  1.371,                0.71681,                 1.1807,                0.48349,                0.43475,                 0.4588,                0.26223,                 1.9265,                 3.1334,                 1.7254,             0.00095042,             0.00095042,             0.00095042
                     76,                 1.2505,                0.64789,                 1.1102,                 0.3693,                0.47579,                 0.4258,                0.21272,                 2.1841,                 2.9926,                 1.8655,             0.00094822,             0.00094822,             0.00094822
                     77,                 1.2282,                0.63649,                 1.1008,                 0.3693,                0.47579,                 0.4258,                0.21272,                 2.1841,                 2.9926,                 1.8655,             0.00094602,             0.00094602,             0.00094602
                     78,                 1.2482,                0.70008,                 1.1473,                0.41801,                0.46723,                0.44837,                0.18867,                 2.5157,                 2.8823,                 2.1422,             0.00094382,             0.00094382,             0.00094382
                     79,                 1.3186,                0.70567,                 1.1011,                0.48634,                0.47021,                 0.4771,                0.21433,                 2.1436,                 2.8521,                  1.825,             0.00094162,             0.00094162,             0.00094162
                     80,                 1.1786,                0.68744,                  1.075,                0.57099,                0.56823,                0.61346,                0.33231,                 1.8845,                  1.852,                 1.5609,             0.00093942,             0.00093942,             0.00093942
                     81,                 1.2823,                0.66571,                 1.1311,                0.57099,                0.56823,                0.61346,                0.33231,                 1.8845,                  1.852,                 1.5609,             0.00093722,             0.00093722,             0.00093722
                     82,                 1.1687,                 0.7299,                 1.0908,                0.57814,                0.64187,                 0.6584,                0.34698,                 1.7998,                 1.6278,                 1.4891,             0.00093502,             0.00093502,             0.00093502
                     83,                 1.1705,                 0.6671,                 1.1037,                 0.6682,                0.68763,                0.74418,                   0.45,                 1.5717,                 1.3807,                 1.3439,             0.00093282,             0.00093282,             0.00093282
                     84,                 1.2668,                 0.6559,                 1.1006,                0.62025,                0.79134,                0.77792,                0.45947,                 1.5678,                 1.4165,                 1.3364,             0.00093062,             0.00093062,             0.00093062
                     85,                 1.2753,                0.71463,                 1.1215,                0.62025,                0.79134,                0.77792,                0.45947,                 1.5678,                 1.4165,                 1.3364,             0.00092842,             0.00092842,             0.00092842
                     86,                 1.1992,                0.63489,                  1.154,                0.76165,                0.79573,                  0.809,                0.47983,                 1.5459,                 1.3501,                 1.3444,             0.00092622,             0.00092622,             0.00092622
                     87,                 1.1962,                0.68971,                  1.122,                0.84222,                0.90865,                 0.9591,                0.57065,                 1.5349,                0.83133,                 1.3346,             0.00092402,             0.00092402,             0.00092402
                     88,                 1.1696,                0.63137,                 1.1072,                0.93881,                0.95195,                0.99425,                 0.5963,                 1.6593,                0.68373,                 1.4223,             0.00092182,             0.00092182,             0.00092182
                     89,                  1.272,                0.65221,                 1.1032,                0.93881,                0.95195,                0.99425,                 0.5963,                 1.6593,                0.68373,                 1.4223,             0.00091962,             0.00091962,             0.00091962
                     90,                  1.213,                0.70587,                 1.1165,                0.91288,                0.92202,                0.99008,                0.55881,                 1.7766,                0.75086,                 1.4966,             0.00091742,             0.00091742,             0.00091742
                     91,                 1.2493,                 0.7092,                 1.1678,                0.82711,                 0.8981,                0.96656,                0.57042,                 1.6663,                0.88365,                 1.3944,             0.00091522,             0.00091522,             0.00091522
                     92,                 1.2771,                0.70104,                 1.0969,                0.77781,                0.83953,                0.90322,                0.56461,                 1.4215,                 1.0212,                 1.2361,             0.00091302,             0.00091302,             0.00091302
                     93,                 1.2659,                0.73756,                 1.1309,                0.77781,                0.83953,                0.90322,                0.56461,                 1.4215,                 1.0212,                 1.2361,             0.00091082,             0.00091082,             0.00091082
                     94,                 1.2649,                 0.6692,                 1.1262,                0.81556,                0.87116,                0.95762,                0.65568,                 1.1956,                0.94427,                 1.1312,             0.00090862,             0.00090862,             0.00090862
                     95,                 1.3291,                0.71339,                 1.1296,                0.92043,                0.87275,                0.96722,                0.68801,                 1.1309,                0.71806,                 1.0976,             0.00090642,             0.00090642,             0.00090642
                     96,                 1.2295,                0.68016,                  1.164,                0.91145,                0.92308,                0.96626,                0.66255,                 1.1374,                0.62327,                  1.106,             0.00090422,             0.00090422,             0.00090422
                     97,                 1.3135,                0.68684,                 1.1445,                0.91145,                0.92308,                0.96626,                0.66255,                 1.1374,                0.62327,                  1.106,             0.00090202,             0.00090202,             0.00090202
                     98,                 1.3098,                0.68764,                  1.168,                0.84699,                0.94709,                0.94413,                0.62348,                 1.2621,                0.73142,                 1.1593,             0.00089982,             0.00089982,             0.00089982
                     99,                 1.2511,                0.66116,                 1.1339,                0.80611,                0.89342,                0.88356,                0.53746,                 1.5006,                0.84639,                 1.2704,             0.00089762,             0.00089762,             0.00089762
                    100,                 1.3116,                0.70623,                 1.1831,                0.82187,                0.87294,                0.83284,                0.48887,                 1.5828,                0.97153,                 1.3172,             0.00089542,             0.00089542,             0.00089542
                    101,                  1.239,                0.63847,                 1.1019,                0.82187,                0.87294,                0.83284,                0.48887,                 1.5828,                0.97153,                 1.3172,             0.00089322,             0.00089322,             0.00089322
                    102,                 1.2251,                0.64914,                 1.1462,                0.86059,                0.71751,                0.78019,                0.43177,                 1.7812,                 1.2443,                 1.4176,             0.00089102,             0.00089102,             0.00089102
                    103,                  1.273,                 0.7457,                 1.1425,                0.84733,                0.65618,                 0.7318,                0.44222,                 1.6849,                 1.4026,                 1.3948,             0.00088882,             0.00088882,             0.00088882
                    104,                 1.1837,                0.63976,                 1.0656,                0.82203,                0.87917,                 0.9291,                0.59849,                 1.2949,                0.87422,                 1.1951,             0.00088662,             0.00088662,             0.00088662
                    105,                 1.2481,                0.68491,                 1.1098,                0.82203,                0.87917,                 0.9291,                0.59849,                 1.2949,                0.87422,                 1.1951,             0.00088442,             0.00088442,             0.00088442
                    106,                 1.2019,                0.60916,                 1.1013,                0.81644,                0.87613,                0.95913,                0.57995,                 1.4286,                0.81295,                 1.2719,             0.00088222,             0.00088222,             0.00088222
                    107,                 1.2039,                0.62566,                 1.0692,                0.89688,                0.95303,                0.97624,                0.56172,                 1.4743,                0.68679,                 1.3181,             0.00088002,             0.00088002,             0.00088002
                    108,                 1.2129,                0.63583,                 1.1673,                0.91911,                0.89039,                0.95306,                0.55777,                 1.6199,                0.68195,                 1.3977,             0.00087782,             0.00087782,             0.00087782
                    109,                 1.2097,                0.60273,                 1.0941,                0.91911,                0.89039,                0.95306,                0.55777,                 1.6199,                0.68195,                 1.3977,             0.00087562,             0.00087562,             0.00087562
                    110,                 1.2484,                0.62848,                 1.1151,                0.97111,                0.99281,                  0.995,                0.59262,                 1.5106,                0.54327,                 1.3006,             0.00087342,             0.00087342,             0.00087342
                    111,                 1.2198,                0.63337,                 1.1127,                0.98251,                0.99567,                  0.995,                0.60588,                 1.5047,                 0.5368,                 1.3127,             0.00087122,             0.00087122,             0.00087122
                    112,                 1.2066,                0.62632,                 1.1303,                0.97898,                0.99531,                  0.995,                0.64271,                 1.3876,                0.52465,                 1.2537,             0.00086902,             0.00086902,             0.00086902
                    113,                 1.1772,                0.61203,                 1.1093,                0.97898,                0.99531,                  0.995,                0.64271,                 1.3876,                0.52465,                 1.2537,             0.00086682,             0.00086682,             0.00086682
                    114,                 1.2638,                 0.6883,                 1.1976,                0.86961,                 0.8969,                0.94871,                 0.6478,                 1.2764,                0.73524,                  1.184,             0.00086462,             0.00086462,             0.00086462
                    115,                 1.2226,                0.67021,                 1.0802,                0.86315,                0.87259,                 0.9387,                0.66637,                 1.1784,                0.74667,                 1.1319,             0.00086242,             0.00086242,             0.00086242
                    116,                 1.2738,                0.66734,                 1.1596,                0.88208,                 0.9298,                0.96575,                0.66509,                 1.2086,                0.61083,                 1.1316,             0.00086023,             0.00086023,             0.00086023
                    117,                 1.1923,                0.61506,                 1.1044,                0.88208,                 0.9298,                0.96575,                0.66509,                 1.2086,                0.61083,                 1.1316,             0.00085803,             0.00085803,             0.00085803
                    118,                  1.206,                0.63153,                 1.1453,                0.88195,                0.96425,                0.95956,                0.64136,                 1.3104,                0.64873,                 1.1867,             0.00085583,             0.00085583,             0.00085583
                    119,                 1.2322,                0.65586,                 1.1154,                0.85151,                  0.937,                0.95731,                0.63918,                 1.3313,                0.70914,                 1.1934,             0.00085363,             0.00085363,             0.00085363
                    120,                  1.174,                0.63584,                 1.0927,                0.91667,                0.83505,                0.92818,                0.59453,                  1.386,                0.71101,                 1.2103,             0.00085143,             0.00085143,             0.00085143
                    121,                  1.165,                0.61867,                 1.0545,                0.91667,                0.83505,                0.92818,                0.59453,                  1.386,                0.71101,                 1.2103,             0.00084923,             0.00084923,             0.00084923
                    122,                 1.2473,                0.63612,                 1.1048,                0.79832,                0.57232,                 0.7399,                0.45895,                 1.6464,                 1.4803,                 1.4398,             0.00084703,             0.00084703,             0.00084703
                    123,                 1.1109,                0.61214,                 1.0598,                 0.7781,                 0.6189,                0.71289,                0.45325,                 1.5348,                 1.7516,                 1.3547,             0.00084483,             0.00084483,             0.00084483
                    124,                 1.1742,                0.64653,                 1.1179,                0.67791,                0.68532,                0.71157,                0.49472,                 1.4392,                 1.7157,                 1.3057,             0.00084263,             0.00084263,             0.00084263
                    125,                 1.1677,                0.63391,                 1.1198,                0.67791,                0.68532,                0.71157,                0.49472,                 1.4392,                 1.7157,                 1.3057,             0.00084043,             0.00084043,             0.00084043
                    126,                 1.1906,                0.59569,                 1.0575,                0.69084,                 0.6707,                0.73111,                0.49648,                 1.5125,                 1.6649,                 1.3514,             0.00083823,             0.00083823,             0.00083823
                    127,                 1.2021,                0.62374,                 1.1183,                0.84127,                0.78998,                0.84356,                0.54463,                  1.471,                 1.0028,                 1.2809,             0.00083603,             0.00083603,             0.00083603
                    128,                  1.192,                0.62581,                 1.0857,                0.79994,                0.84468,                0.90954,                0.55734,                 1.5257,                0.92411,                 1.3165,             0.00083383,             0.00083383,             0.00083383
                    129,                 1.2214,                0.65039,                  1.175,                0.79994,                0.84468,                0.90954,                0.55734,                 1.5257,                0.92411,                 1.3165,             0.00083163,             0.00083163,             0.00083163
                    130,                 1.1941,                0.60355,                 1.1273,                0.87755,                0.74284,                0.86503,                0.52776,                 1.5505,                 1.0178,                 1.3267,             0.00082943,             0.00082943,             0.00082943
                    131,                 1.1726,                 0.6132,                 1.0952,                0.95122,                0.79001,                 0.9048,                0.58434,                 1.4938,                0.87174,                 1.3028,             0.00082723,             0.00082723,             0.00082723
                    132,                 1.0981,                0.64782,                 1.1063,                0.95027,                0.80087,                0.90599,                0.58316,                 1.4574,                0.85933,                 1.3138,             0.00082503,             0.00082503,             0.00082503
