                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2152,                0.84166,                 1.1224,                 0.5935,                0.52548,                0.54017,                0.28584,                 1.8114,                 3.7591,                  1.624,              0.0010384,              0.0010384,              0.0010384
                     36,                 1.2515,                 0.7457,                 1.1362,                0.59661,                0.63151,                0.65949,                0.36105,                 1.6182,                 2.4839,                 1.4703,              0.0010362,              0.0010362,              0.0010362
                     37,                 1.1923,                0.76711,                 1.0808,                0.59661,                0.63151,                0.65949,                0.36105,                 1.6182,                 2.4839,                 1.4703,               0.001034,               0.001034,               0.001034
                     38,                 1.2341,                0.73747,                 1.1501,                0.75714,                0.65166,                0.74479,                0.38727,                 1.6416,                 2.5139,                 1.5287,              0.0010318,              0.0010318,              0.0010318
                     39,                 1.1797,                0.66406,                 1.1157,                0.70108,                0.60758,                0.74275,                0.43941,                 1.4063,                 3.0395,                 1.3351,              0.0010296,              0.0010296,              0.0010296
                     40,                 1.0937,                0.65634,                 1.0396,                0.74836,                0.58029,                0.76953,                0.44987,                 1.5378,                 2.0831,                 1.3887,              0.0010274,              0.0010274,              0.0010274
                     41,                 1.2329,                0.71866,                 1.1104,                0.74836,                0.58029,                0.76953,                0.44987,                 1.5378,                 2.0831,                 1.3887,              0.0010252,              0.0010252,              0.0010252
                     42,                 1.2347,                0.73704,                 1.0914,                0.26655,                 0.6854,                0.35921,                0.20306,                 1.8063,                 7.5541,                 1.6135,               0.001023,               0.001023,               0.001023
                     43,                 1.1739,                0.65871,                 1.0796,                0.47964,                0.75123,                0.67588,                0.38439,                 1.6347,                 5.3451,                  1.502,              0.0010208,              0.0010208,              0.0010208
                     44,                 1.2586,                0.75055,                 1.0962,                0.59374,                0.74387,                0.77727,                0.41473,                 1.7695,                 3.4577,                 1.5831,              0.0010186,              0.0010186,              0.0010186
                     45,                  1.188,                0.69462,                 1.0758,                0.59374,                0.74387,                0.77727,                0.41473,                 1.7695,                 3.4577,                 1.5831,              0.0010164,              0.0010164,              0.0010164
                     46,                 1.2563,                0.68341,                 1.0909,                0.69205,                0.63512,                0.66739,                0.31004,                 2.1158,                 6.9488,                 1.8334,              0.0010142,              0.0010142,              0.0010142
                     47,                 1.2897,                0.70335,                 1.0999,                0.46319,                0.57119,                0.47027,                0.26339,                 2.0482,                  63.47,                 1.7807,               0.001012,               0.001012,               0.001012
                     48,                 1.2793,                0.68711,                 1.1665,                0.73261,                0.70727,                0.63586,                0.39172,                 1.7051,                 10.454,                  1.478,              0.0010098,              0.0010098,              0.0010098
                     49,                 1.2566,                0.67956,                 1.1561,                0.73261,                0.70727,                0.63586,                0.39172,                 1.7051,                 10.454,                  1.478,              0.0010076,              0.0010076,              0.0010076
                     50,                 1.2581,                0.65145,                 1.0903,                0.53135,                 0.6933,                0.58783,                0.31386,                 1.7122,                 4.5712,                 1.5015,              0.0010054,              0.0010054,              0.0010054
                     51,                 1.3142,                0.68371,                 1.2167,                0.90106,                0.79113,                0.80134,                0.44756,                 1.5872,                 1.5385,                 1.4033,              0.0010032,              0.0010032,              0.0010032
                     52,                 1.2132,                0.79979,                 1.0742,                0.91949,                0.94941,                  0.991,                0.58311,                 1.6102,                0.82147,                 1.4095,               0.001001,               0.001001,               0.001001
                     53,                  1.125,                0.65108,                  1.105,                0.91949,                0.94941,                  0.991,                0.58311,                 1.6102,                0.82147,                 1.4095,             0.00099881,             0.00099881,             0.00099881
                     54,                 1.2051,                 0.7332,                 1.1339,                0.90826,                0.94876,                0.96503,                0.53794,                 1.7628,                0.88578,                 1.4873,             0.00099661,             0.00099661,             0.00099661
                     55,                 1.1625,                0.64605,                 1.0658,                 0.9073,                0.94298,                 0.9622,                0.51676,                 1.6892,                0.85523,                 1.4237,             0.00099441,             0.00099441,             0.00099441
                     56,                 1.1589,                0.64255,                 1.0574,                0.85034,                0.91401,                 0.8825,                0.53092,                 1.4616,                0.89086,                 1.2872,             0.00099221,             0.00099221,             0.00099221
                     57,                 1.2286,                0.69708,                 1.1355,                0.85034,                0.91401,                 0.8825,                0.53092,                 1.4616,                0.89086,                 1.2872,             0.00099001,             0.00099001,             0.00099001
                     58,                 1.1828,                0.63574,                 1.0697,                0.89788,                0.95476,                0.91548,                0.57558,                 1.4013,                0.83312,                 1.2542,             0.00098781,             0.00098781,             0.00098781
                     59,                 1.1821,                 0.6847,                 1.1445,                0.89443,                0.92294,                0.93653,                0.60068,                 1.4167,                0.86113,                   1.27,             0.00098561,             0.00098561,             0.00098561
                     60,                 1.1485,                0.65546,                 1.0951,                 0.8855,                0.92276,                0.92919,                0.55738,                    1.5,                0.92625,                 1.3469,             0.00098341,             0.00098341,             0.00098341
                     61,                 1.1837,                0.74705,                  1.118,                 0.8855,                0.92276,                0.92919,                0.55738,                    1.5,                0.92625,                 1.3469,             0.00098121,             0.00098121,             0.00098121
                     62,                 1.1594,                0.77062,                 1.0657,                 0.8595,                0.91096,                0.96001,                0.55991,                  1.626,                 0.8621,                 1.4371,             0.00097901,             0.00097901,             0.00097901
                     63,                  1.332,                0.70955,                 1.1931,                0.88414,                 0.8706,                0.90392,                0.53704,                 1.5047,                0.93809,                 1.3469,             0.00097681,             0.00097681,             0.00097681
                     64,                 1.2548,                0.70719,                 1.1859,                0.88743,                0.87147,                0.91936,                0.60531,                 1.3328,                0.86679,                 1.2155,             0.00097461,             0.00097461,             0.00097461
                     65,                  1.163,                0.60318,                 1.0801,                0.88743,                0.87147,                0.91936,                0.60531,                 1.3328,                0.86679,                 1.2155,             0.00097241,             0.00097241,             0.00097241
                     66,                 1.1146,                0.63918,                 1.0669,                0.82516,                0.91449,                0.93669,                0.62661,                 1.3053,                0.79179,                 1.1968,             0.00097021,             0.00097021,             0.00097021
                     67,                 1.1362,                0.63376,                 1.0875,                0.91267,                0.89678,                0.93444,                0.60238,                 1.4075,                0.75092,                 1.2678,             0.00096801,             0.00096801,             0.00096801
                     68,                 1.0935,                0.60028,                 1.0882,                0.84458,                 0.8339,                0.90139,                 0.5582,                  1.461,                 1.0189,                 1.3092,             0.00096581,             0.00096581,             0.00096581
                     69,                 1.2182,                0.58911,                 1.0763,                0.84458,                 0.8339,                0.90139,                 0.5582,                  1.461,                 1.0189,                 1.3092,             0.00096361,             0.00096361,             0.00096361
                     70,                 1.1442,                0.57046,                 1.0958,                0.90267,                0.82579,                 0.8815,                0.56184,                 1.3272,                0.85555,                 1.2089,             0.00096141,             0.00096141,             0.00096141
                     71,                 1.1478,                0.64166,                 1.0439,                0.90032,                0.94943,                 0.9465,                0.61557,                 1.3034,                0.68202,                 1.1953,             0.00095922,             0.00095922,             0.00095922
                     72,                 1.1223,                 0.5753,                 1.0811,                0.91491,                0.95132,                0.94267,                0.66553,                 1.1441,                0.63574,                 1.1216,             0.00095702,             0.00095702,             0.00095702
                     73,                 1.1461,                0.60118,                 1.1236,                0.91491,                0.95132,                0.94267,                0.66553,                 1.1441,                0.63574,                 1.1216,             0.00095482,             0.00095482,             0.00095482
                     74,                 1.1525,                0.59334,                 1.0535,                 0.9596,                0.95476,                0.95415,                0.63488,                 1.2066,                0.61603,                 1.1796,             0.00095262,             0.00095262,             0.00095262
                     75,                 1.2448,                0.60276,                 1.1153,                0.88106,                0.93128,                0.95614,                0.61701,                 1.3858,                0.72903,                 1.3043,             0.00095042,             0.00095042,             0.00095042
                     76,                 1.1909,                0.61423,                 1.0698,                0.86696,                  0.906,                0.92497,                0.54748,                 1.5078,                0.88745,                 1.3845,             0.00094822,             0.00094822,             0.00094822
                     77,                 1.0484,                 0.5776,                 1.0375,                0.86696,                  0.906,                0.92497,                0.54748,                 1.5078,                0.88745,                 1.3845,             0.00094602,             0.00094602,             0.00094602
                     78,                 1.0617,                0.60832,                 1.0784,                0.97883,                0.93076,                0.97978,                0.57419,                 1.5413,                0.70954,                 1.3881,             0.00094382,             0.00094382,             0.00094382
                     79,                 1.1497,                0.58566,                 1.0457,                0.92759,                0.91436,                0.95644,                0.54375,                 1.5701,                0.71531,                 1.3925,             0.00094162,             0.00094162,             0.00094162
                     80,                 1.0613,                0.54127,                 1.0347,                0.83593,                0.95524,                0.95532,                0.56968,                 1.4627,                0.65125,                 1.3139,             0.00093942,             0.00093942,             0.00093942
                     81,                 1.0959,                0.57364,                 1.0533,                0.83593,                0.95524,                0.95532,                0.56968,                 1.4627,                0.65125,                 1.3139,             0.00093722,             0.00093722,             0.00093722
                     82,                 1.0489,                0.55911,                 1.0508,                0.91584,                 0.9339,                0.97165,                0.62565,                 1.3691,                0.57251,                 1.2676,             0.00093502,             0.00093502,             0.00093502
                     83,                 1.0928,                0.58096,                 1.0661,                0.98715,                0.97843,                0.98053,                0.65251,                 1.3295,                0.47883,                 1.2425,             0.00093282,             0.00093282,             0.00093282
                     84,                 1.0894,                0.57688,                 1.0402,                0.96304,                0.99099,                  0.995,                  0.625,                 1.4211,                0.53724,                 1.3196,             0.00093062,             0.00093062,             0.00093062
                     85,                 1.1165,                0.55548,                 1.0742,                0.96304,                0.99099,                  0.995,                  0.625,                 1.4211,                0.53724,                 1.3196,             0.00092842,             0.00092842,             0.00092842
                     86,                 1.1477,                0.56836,                 1.1544,                  0.972,                0.96881,                  0.995,                0.62943,                 1.4227,                0.54686,                  1.332,             0.00092622,             0.00092622,             0.00092622
                     87,                 1.1027,                0.55433,                 1.0886,                0.98704,                0.98749,                  0.995,                0.64473,                 1.4034,                0.48599,                 1.3014,             0.00092402,             0.00092402,             0.00092402
                     88,                 1.0744,                0.52891,                 1.0653,                 0.9771,                0.99194,                  0.995,                0.60264,                 1.5256,                0.49135,                 1.3651,             0.00092182,             0.00092182,             0.00092182
                     89,                 1.1133,                0.51966,                 1.0473,                 0.9771,                0.99194,                  0.995,                0.60264,                 1.5256,                0.49135,                 1.3651,             0.00091962,             0.00091962,             0.00091962
                     90,                 1.0823,                0.56083,                 1.0787,                0.96699,                0.98893,                  0.995,                0.59712,                 1.5921,                0.53952,                 1.4103,             0.00091742,             0.00091742,             0.00091742
                     91,                 1.1333,                0.58671,                  1.124,                0.93751,                0.97916,                 0.9911,                 0.6131,                 1.4366,                0.56356,                 1.2748,             0.00091522,             0.00091522,             0.00091522
                     92,                 1.1284,                0.53905,                 1.0489,                0.84883,                0.94502,                0.97289,                0.64539,                 1.2594,                0.59894,                 1.1679,             0.00091302,             0.00091302,             0.00091302
                     93,                 1.1845,                0.59665,                 1.1004,                0.84883,                0.94502,                0.97289,                0.64539,                 1.2594,                0.59894,                 1.1679,             0.00091082,             0.00091082,             0.00091082
                     94,                 1.1421,                0.53718,                 1.0794,                0.95667,                0.93237,                0.99233,                0.69506,                 1.1722,                0.52494,                 1.1155,             0.00090862,             0.00090862,             0.00090862
                     95,                 1.2012,                0.58532,                 1.0775,                0.94241,                0.93777,                0.99009,                0.70097,                 1.1819,                0.54777,                 1.1287,             0.00090642,             0.00090642,             0.00090642
                     96,                 1.1229,                0.55477,                 1.1012,                0.94401,                0.96178,                 0.9895,                0.69201,                 1.2089,                  0.521,                 1.1419,             0.00090422,             0.00090422,             0.00090422
                     97,                 1.1593,                0.56701,                  1.067,                0.94401,                0.96178,                 0.9895,                0.69201,                 1.2089,                  0.521,                 1.1419,             0.00090202,             0.00090202,             0.00090202
